#{"t_start": 1594001629.9526608, "env_id": null}
r,l,t
-0.738095,12,5.833772
-9.761905,11,5.860099
-9.738095,12,5.885709
-0.833333,8,5.912653
-0.738095,12,5.938364
-9.761905,11,5.964294
1.190476,9,5.982421
1.261905,12,6.010118
-9.833333,8,6.026277
-9.785714,10,6.04825
-0.690476,14,6.080008
1.285714,13,6.111026
-0.785714,10,6.134509
1.166667,8,6.151016
-0.833333,8,6.172566
-9.880952,6,6.185803
-0.738095,12,6.224032
-9.761905,11,6.24807
1.190476,9,6.27322
1.285714,13,6.311347
-0.809524,9,6.341326
1.142857,7,6.357866
1.142857,7,6.384706
1.142857,7,6.402155
-9.833333,8,6.424776
-9.738095,12,6.453743
1.166667,8,6.473403
1.119048,6,6.486884
1.095238,5,6.498858
1.119048,6,6.512392
1.190476,9,6.542534
-9.833333,8,6.561691
1.166667,8,6.582085
-9.785714,10,6.603783
1.095238,5,6.615566
-0.714286,13,6.645204
-9.714286,13,6.6723
1.142857,7,6.689624
1.166667,8,6.705744
-0.785714,10,6.728131
1.214286,10,6.750012
-0.904762,5,6.762497
1.214286,10,6.786942
-0.738095,12,6.815449
-9.809524,9,6.849359
1.095238,5,6.861575
-0.833333,8,6.879021
-0.714286,13,6.91091
1.238095,11,6.934601
1.166667,8,6.953237
1.214286,10,6.976882
1.142857,7,6.99669
1.071429,4,7.009751
1.142857,7,7.026313
-9.738095,12,7.05305
1.095238,5,7.064837
1.119048,6,7.078445
1.166667,8,7.095582
1.095238,5,7.107514
-9.809524,9,7.127664
1.142857,7,7.146496
1.166667,8,7.166957
-9.785714,10,7.193018
1.166667,8,7.211996
1.214286,10,7.234229
-9.761905,11,7.261537
1.142857,7,7.279805
1.095238,5,7.296555
-9.761905,11,7.325316
1.119048,6,7.338716
1.119048,6,7.352067
-9.761905,11,7.374788
-9.809524,9,7.39721
1.095238,5,7.409145
-9.809524,9,7.428786
1.142857,7,7.444498
-0.738095,12,7.475076
1.142857,7,7.490057
-9.714286,13,7.526025
1.119048,6,7.539947
1.119048,6,7.553528
1.142857,7,7.568178
-0.738095,12,7.597153
-9.785714,10,7.624655
1.095238,5,7.642358
1.166667,8,7.668062
-0.714286,13,7.700174
1.190476,9,7.721052
1.333333,15,7.753005
1.238095,11,7.780659
1.214286,10,7.805705
1.214286,10,7.827902
1.261905,12,7.8541
1.261905,12,7.881599
1.095238,5,7.893338
1.095238,5,7.905221
1.261905,12,7.932722
-9.857143,7,7.949228
-0.761905,11,7.973191
-9.833333,8,7.989508
1.166667,8,8.012457
1.214286,10,8.034269
-0.809524,9,8.05934
1.071429,4,8.073864
1.071429,4,8.081428
1.142857,7,8.099491
-0.904762,5,8.111966
1.119048,6,8.125259
1.095238,5,8.140252
-9.833333,8,8.163006
1.095238,5,8.177628
1.095238,5,8.188847
-0.928571,4,8.197079
-9.833333,8,8.216381
-9.857143,7,8.230626
1.119048,6,8.246882
1.142857,7,8.262352
1.238095,11,8.285966
1.214286,10,8.315147
1.071429,4,8.326213
1.119048,6,8.33942
-9.809524,9,8.36534
-0.761905,11,8.389164
1.142857,7,8.406289
1.095238,5,8.418184
1.071429,4,8.426084
-9.761905,11,8.457438
1.166667,8,8.476212
-9.690476,14,8.506441
1.214286,10,8.530421
1.166667,8,8.557679
1.119048,6,8.573055
1.190476,9,8.593555
1.095238,5,8.605703
1.166667,8,8.622758
1.095238,5,8.640334
1.142857,7,8.667507
1.095238,5,8.68079
1.071429,4,8.688537
-9.714286,13,8.717044
-9.880952,6,8.736785
1.071429,4,8.752214
1.119048,6,8.769924
1.071429,4,8.785059
-9.785714,10,8.806749
-9.809524,9,8.832528
1.119048,6,8.847591
-0.785714,10,8.870811
1.142857,7,8.888462
1.119048,6,8.904249
1.119048,6,8.918016
1.095238,5,8.93692
-0.904762,5,8.952853
1.119048,6,8.966452
1.071429,4,8.976669
1.166667,8,8.992882
1.071429,4,9.003217
1.119048,6,9.016773
1.119048,6,9.034189
-0.904762,5,9.047325
1.214286,10,9.069467
-0.785714,10,9.092326
1.095238,5,9.10398
-0.928571,4,9.11251
-0.857143,7,9.130723
-0.833333,8,9.148802
1.166667,8,9.172678
-9.714286,13,9.207901
1.214286,10,9.239511
-0.880952,6,9.265118
1.214286,10,9.293526
-0.809524,9,9.31571
1.119048,6,9.329513
-9.785714,10,9.357909
-9.809524,9,9.387973
1.261905,12,9.414282
1.166667,8,9.437665
1.095238,5,9.449281
1.142857,7,9.464185
1.238095,11,9.489794
1.071429,4,9.500119
1.142857,7,9.515793
1.309524,14,9.547356
1.238095,11,9.570784
1.166667,8,9.589936
1.166667,8,9.610973
1.071429,4,9.61867
-0.833333,8,9.637991
1.142857,7,9.652551
-0.761905,11,9.684376
-9.738095,12,9.709021
1.071429,4,9.723741
1.142857,7,9.743283
1.190476,9,9.763769
-0.738095,12,9.789857
-9.761905,11,9.82086
1.190476,9,9.83864
1.119048,6,9.854453
-0.809524,9,9.872784
1.119048,6,9.888777
1.309524,14,9.91662
1.119048,6,9.93389
1.119048,6,9.947166
1.095238,5,9.958925
1.214286,10,9.981057
1.142857,7,9.995846
1.166667,8,10.019689
1.166667,8,10.035785
1.190476,9,10.05583
1.071429,4,10.066089
-9.809524,9,10.085953
-0.833333,8,10.102633
